line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
31,Captain,"For brave Macbeth (well he deserves that name),",1,2,2,"Act 1, Scene 2",0.0,0.522,0.478,0.6705,pos,-0.023527272727272744,0.45305999999999996,0.5783317023992373,0.44957025,-0.014412549090909098,1,0,-0.09090909090909094,0.0293060606060606,-1.734723475976807e-17,
32,Captain,"Disdaining Fortune, with his brandished steel,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.022890909090909076,0.43354,0.5602837477564381,0.0,0.00928857454545454,0,0,0.0,0.05606709956709954,-2.0816681711721685e-17,
33,Captain,"Which smoked with bloody execution,",1,2,2,"Act 1, Scene 2",0.42,0.58,0.0,-0.4404,neg,0.013554545454545442,0.29442,0.4195416284470469,-0.19395216,0.008329729999999995,0,1,-0.09090909090909094,0.03054025974025973,-2.0816681711721685e-17,
34,Captain,"Like Valor’s minion, carved out his passage",1,2,2,"Act 1, Scene 2",0.0,0.706,0.294,0.3612,pos,0.013554545454545442,0.18086,0.2865080138495256,0.13046544000000002,0.008329729999999995,1,0,-0.09090909090909094,0.0506116883116883,-0.04478181818181819,
35,Captain,Till he faced the slave;,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.08496363636363637,0.18086,0.2865080138495256,0.0,-0.04630640181818182,0,0,-0.2727272727272727,-0.04471601731601732,-0.1015909090909091,
36,Captain,"Which ne’er shook hands, nor bade farewell to him,",1,2,2,"Act 1, Scene 2",0.149,0.851,0.0,-0.1027,neg,0.011109090909090902,0.11332,0.1915106341694893,-0.010547289999999999,0.009541307272727272,0,1,-0.09090909090909094,0.04068528138528138,-0.011945454545454558,
37,Captain,"Till he unseamed him from the nave to th’ chops,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.04984545454545455,0.04108,0.05625110665578011,0.0,-0.03132871545454546,0,0,-0.18181818181818182,-0.044583549783549795,-0.04478181818181819,
38,Captain,And fixed his head upon our battlements.,1,2,2,"Act 1, Scene 2",0.189,0.811,0.0,-0.1027,neg,-0.08816363636363637,0.16606,0.2615888816444612,-0.010547289999999999,-0.04747982909090909,0,1,-0.2727272727272727,-0.08290173160173162,-0.08310000000000002,
39,Duncan,"O valiant cousin, worthy gentleman!",1,2,2,"Act 1, Scene 2",0.0,0.556,0.444,0.4926,pos,0.04934444444444444,0.18660000000000002,0.33017493545089094,0.24265475999999997,0.02368913444444444,1,0,0.1111111111111111,0.0718063492063492,0.052689898989898974,
40,Captain,As whence the sun ’gins his reflection,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.10351818181818183,0.21776,0.3551981658173363,0.0,-0.06359749545454545,0,0,-0.2727272727272727,-0.03823722943722946,-0.011945454545454565,
