line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
917,Ross,"Contending ’gainst obedience, as they would",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.09395454545454546,0.44236,0.5581070372249394,9,0.0,0.05002861181818181,0,0,0.18181818181818182,0.07852597402597401,0.13930909090909097,0.0757
918,Ross,Make war with mankind.,2,4,11,"Act 2, Scene 4",0.565,0.435,0.0,-0.5994,neg,0.05563636363636364,0.3126399999999999,0.44306328780434956,9,-0.3592803600000001,0.03387749818181817,0,1,0.09090909090909094,0.028303030303030278,4.85722573273506e-17,-0.3403
921,Ross,"They did so, to th’ amazement of mine eyes",2,4,11,"Act 2, Scene 4",0.0,0.696,0.304,0.5423,pos,0.03576363636363636,0.31642,0.45219963290564485,10,0.29408929,0.018738454545454534,1,0,0.09090909090909094,0.04151125541125538,0.03923636363636367,0.5423
922,Ross,That looked upon ’t.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.013909090909090911,0.31642,0.45219963290564485,10,0.0,0.005167865454545443,0,0,-0.09090909090909094,0.008029004329004304,-0.004190909090909047,0.27115
923,Ross,Here comes the good,2,4,11,"Act 2, Scene 4",0.0,0.508,0.492,0.4404,pos,-0.040036363636363634,0.19653999999999996,0.27152421254834713,10,0.19395216,-0.021215454545454555,1,0,-0.09090909090909094,-0.05002683982683985,-0.030318181818181772,0.3275666666666667
924,Ross,Macduff.—,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.0017181818181818157,0.18611999999999998,0.32929932887875724,10,0.0,-0.005064340909090914,0,0,0.0,-0.006461038961038983,-0.021654545454545412,0.1468
925,Ross,"How goes the world, sir, now?",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.0017181818181818157,0.24075999999999995,0.34929237037187044,10,0.0,-0.005064340909090914,0,0,0.0,0.006548484848484825,-0.05449090909090905,0.1468
927,Ross,Is ’t known who did this more than bloody deed?,2,4,11,"Act 2, Scene 4",0.261,0.739,0.0,-0.4902,neg,0.09096363636363636,0.22491999999999995,0.32134356691864846,11,-0.24029604000000002,0.04364151090909091,0,1,0.18181818181818182,0.09003982683982681,0.08749090909090912,-0.4902
929,Ross,"Alas the day,",2,4,11,"Act 2, Scene 4",0.512,0.488,0.0,-0.2732,neg,0.041663636363636375,0.22491999999999995,0.32134356691864846,12,-0.07463824,0.016906120909090907,0,1,0.09090909090909088,0.012196969696969685,0.1129363636363637,-0.2732
930,Ross,What good could they pretend?,2,4,11,"Act 2, Scene 4",0.192,0.411,0.397,0.3612,pos,0.041663636363636375,0.22491999999999995,0.32134356691864846,12,0.13046544000000002,0.016906120909090907,1,0,0.09090909090909088,0.012196969696969682,0.1129363636363637,0.04400000000000001
